cliente_id,nome,email,telefone,estado,canal_aquisicao,data_cadastro,fonte_crm
57,Cliente_57,cliente57@email.com,11962048178,SP,Google Ads,2024-04-07,Planilha
58,Cliente_58,cliente58@email.com,11942688762,SP,Google Ads,2023-08-21,HubSpot
59,Cliente_59,cliente59@email.com,11964844631,SP,Marketplace,2024-11-26,HubSpot
60,Cliente_60,cliente60@email.com,11948141372,SP,Indicação,2024-10-01,Planilha
61,Cliente_61,cliente61@email.com,11918070765,RJ,Marketplace,2024-07-21,ERP
62,Cliente_62,cliente62@email.com,11925600834,SP,Google Ads,2023-10-09,ERP
63,Cliente_63,cliente63@email.com,11957140217,SC,Google Ads,2023-06-12,Planilha
64,Cliente_64,cliente64@email.com,11927266829,RJ,Google Ads,2024-07-19,HubSpot
65,Cliente_65,cliente65@email.com,11962482847,SP,Facebook Ads,2024-06-10,HubSpot
66,Cliente_66,cliente66@email.com,11983873936,MG,Orgânico,2024-11-23,Planilha
67,Cliente_67,cliente67@email.com,11940993473,SP,Facebook Ads,2024-03-01,HubSpot
68,Cliente_68,cliente68@email.com,11968333578,SC,Facebook Ads,2023-06-27,HubSpot
69,Cliente_69,cliente69@email.com,11968330451,SP,Loja Física,2024-08-28,HubSpot
70,Cliente_70,cliente70@email.com,11922738466,DF,Facebook Ads,2024-07-10,HubSpot
71,Cliente_71,cliente71@email.com,11966290071,SC,Orgânico,2024-06-12,HubSpot
72,Cliente_72,cliente72@email.com,11992272480,SP,Marketplace,2023-01-06,HubSpot
73,Cliente_73,cliente73@email.com,11950854089,SP,Facebook Ads,2023-09-08,HubSpot
74,Cliente_74,cliente74@email.com,11971588377,SC,Indicação,2023-03-19,HubSpot
75,Cliente_75,cliente75@email.com,11998638662,PR,Marketplace,2024-05-16,ERP
76,Cliente_76,cliente76@email.com,11984430949,PR,Loja Física,2024-07-17,HubSpot
77,Cliente_77,cliente77@email.com,11989670812,SC,Google Ads,2023-10-05,HubSpot
78,Cliente_78,cliente78@email.com,11943375431,SP,Loja Física,2023-12-11,Planilha
79,Cliente_79,cliente79@email.com,11913642964,RJ,Orgânico,2023-04-25,HubSpot
80,Cliente_80,cliente80@email.com,11940056329,SP,Facebook Ads,2024-08-20,ERP
81,Cliente_81,cliente81@email.com,11982206980,BA,Orgânico,2023-08-06,Planilha
82,Cliente_82,cliente82@email.com,11971738758,RS,Loja Física,2024-04-24,HubSpot
83,Cliente_83,cliente83@email.com,11926117186,SP,Orgânico,2023-07-31,HubSpot
84,Cliente_84,cliente84@email.com,11988012617,SP,Facebook Ads,2024-04-20,ERP
85,Cliente_85,cliente85@email.com,11993223634,SP,Indicação,2024-07-30,ERP
86,Cliente_86,cliente86@email.com,11952495616,SP,Google Ads,2023-01-08,HubSpot
87,Cliente_87,cliente87@email.com,11938669057,PR,Google Ads,2023-08-24,Planilha
88,Cliente_88,cliente88@email.com,11987929504,RS,Google Ads,2023-02-03,HubSpot
89,Cliente_89,cliente89@email.com,11976940452,BA,Google Ads,2024-06-28,ERP
90,Cliente_90,cliente90@email.com,11961030998,RJ,Google Ads,2023-02-08,HubSpot
91,Cliente_91,cliente91@email.com,11982342744,SP,Google Ads,2024-09-21,ERP
92,Cliente_92,cliente92@email.com,11936774158,PR,Indicação,2024-10-20,Planilha
93,Cliente_93,cliente93@email.com,11952000015,PR,Google Ads,2023-07-02,Planilha
94,Cliente_94,cliente94@email.com,11985577054,MG,Facebook Ads,2024-07-01,Planilha
95,Cliente_95,cliente95@email.com,11958398229,SC,Marketplace,2024-10-03,HubSpot
96,Cliente_96,cliente96@email.com,11957141275,RJ,Orgânico,2023-02-26,HubSpot
97,Cliente_97,cliente97@email.com,11916959950,MG,Indicação,2024-10-08,HubSpot
98,Cliente_98,cliente98@email.com,11926007308,RJ,Google Ads,2024-02-24,HubSpot
99,Cliente_99,cliente99@email.com,11952656561,SP,Google Ads,2024-02-03,Planilha
100,Cliente_100,cliente100@email.com,11917792602,SP,Google Ads,2023-05-29,HubSpot
101,Cliente_101,cliente101@email.com,11929710369,SP,Google Ads,2024-03-15,HubSpot
102,Cliente_102,cliente102@email.com,11966268884,RS,Facebook Ads,2023-04-05,ERP
103,Cliente_103,cliente103@email.com,11983141474,SP,Google Ads,2024-05-21,ERP
104,Cliente_104,cliente104@email.com,11913885115,MG,Google Ads,2023-12-14,ERP
105,Cliente_105,cliente105@email.com,11931548310,PE,Google Ads,2023-09-17,ERP
106,Cliente_106,cliente106@email.com,11980313229,SP,Orgânico,2024-07-26,HubSpot
107,Cliente_107,cliente107@email.com,11948328331,RJ,Google Ads,2024-10-16,HubSpot
108,Cliente_108,cliente108@email.com,11911758712,PR,Facebook Ads,2024-01-27,Planilha
109,Cliente_109,cliente109@email.com,11927107906,SP,Orgânico,2024-07-01,Planilha
110,Cliente_110,cliente110@email.com,11965682980,SP,Indicação,2024-05-29,HubSpot
111,Cliente_111,cliente111@email.com,11961115538,SP,Google Ads,2023-06-15,ERP
112,Cliente_112,cliente112@email.com,11914763864,SP,Marketplace,2023-11-11,HubSpot
113,Cliente_113,cliente113@email.com,11953715672,PE,Indicação,2024-09-09,HubSpot
114,Cliente_114,cliente114@email.com,11922154619,SC,Google Ads,2023-01-24,Planilha
115,Cliente_115,cliente115@email.com,11934969063,RS,Marketplace,2024-05-31,Planilha
116,Cliente_116,cliente116@email.com,11983525274,BA,Loja Física,2023-11-12,Planilha
117,Cliente_117,cliente117@email.com,11983747610,SC,Google Ads,2023-09-19,HubSpot
118,Cliente_118,cliente118@email.com,11972611104,SP,Facebook Ads,2024-06-04,ERP
119,Cliente_119,cliente119@email.com,11925288774,PE,Marketplace,2024-06-11,HubSpot
120,Cliente_120,cliente120@email.com,11959523176,MG,Marketplace,2023-09-23,HubSpot
121,Cliente_121,cliente121@email.com,11942292199,SC,Google Ads,2024-11-18,ERP
122,Cliente_122,cliente122@email.com,11944574552,PE,Google Ads,2023-01-27,ERP
123,Cliente_123,cliente123@email.com,11978331766,SP,Facebook Ads,2024-01-14,ERP
124,Cliente_124,cliente124@email.com,11932022831,SP,Orgânico,2024-07-15,ERP
125,Cliente_125,cliente125@email.com,11968586286,SP,Indicação,2023-08-28,Planilha
126,Cliente_126,cliente126@email.com,11947262720,RJ,Facebook Ads,2023-06-23,Planilha
127,Cliente_127,cliente127@email.com,11934061341,SC,Orgânico,2024-03-16,HubSpot
128,Cliente_128,cliente128@email.com,11950413925,BA,Marketplace,2023-01-30,HubSpot
129,Cliente_129,cliente129@email.com,11911120062,SP,Google Ads,2023-11-08,HubSpot
130,Cliente_130,cliente130@email.com,11990299089,MG,Facebook Ads,2023-12-06,HubSpot
131,Cliente_131,cliente131@email.com,11926209201,RJ,Marketplace,2024-10-31,Planilha
132,Cliente_132,cliente132@email.com,11981988199,SP,Marketplace,2024-05-06,HubSpot
133,Cliente_133,cliente133@email.com,11964597331,SP,Orgânico,2024-12-28,HubSpot
134,Cliente_134,cliente134@email.com,11995460271,SP,Orgânico,2023-11-07,HubSpot
135,Cliente_135,cliente135@email.com,11977207158,CE,Google Ads,2023-04-06,Planilha
136,Cliente_136,cliente136@email.com,11910731773,SP,Facebook Ads,2024-08-16,HubSpot
137,Cliente_137,cliente137@email.com,11973608228,MG,Orgânico,2023-06-27,ERP
138,Cliente_138,cliente138@email.com,11911786825,PR,Google Ads,2023-03-27,HubSpot
139,Cliente_139,cliente139@email.com,11940520336,RJ,Facebook Ads,2023-11-04,HubSpot
140,Cliente_140,cliente140@email.com,11991195174,DF,Facebook Ads,2023-11-27,Planilha
141,Cliente_141,cliente141@email.com,11970597814,CE,Google Ads,2024-09-19,ERP
142,Cliente_142,cliente142@email.com,11994474276,SP,Facebook Ads,2024-11-15,HubSpot
143,Cliente_143,cliente143@email.com,11934426861,RJ,Google Ads,2023-11-15,Planilha
144,Cliente_144,cliente144@email.com,11943165528,SP,Facebook Ads,2023-09-09,Planilha
145,Cliente_145,cliente145@email.com,11962297875,SP,Google Ads,2024-06-04,HubSpot
146,Cliente_146,cliente146@email.com,11998994920,SP,Marketplace,2024-08-10,ERP
147,Cliente_147,cliente147@email.com,11984218590,MG,Orgânico,2024-03-02,Planilha
148,Cliente_148,cliente148@email.com,11975121065,MG,Indicação,2024-12-06,Planilha
149,Cliente_149,cliente149@email.com,11910748093,SP,Marketplace,2023-03-23,ERP
150,Cliente_150,cliente150@email.com,11955921116,SP,Orgânico,2023-11-07,ERP
151,Cliente_151,cliente151@email.com,11956745526,PE,Google Ads,2023-07-16,Planilha
152,Cliente_152,cliente152@email.com,11976407290,SP,Orgânico,2023-08-13,ERP
153,Cliente_153,cliente153@email.com,11954154187,SP,Orgânico,2023-04-05,Planilha
154,Cliente_154,cliente154@email.com,11923599968,RJ,Marketplace,2024-01-08,Planilha
155,Cliente_155,cliente155@email.com,11929339137,DF,Facebook Ads,2024-02-11,Planilha
156,Cliente_156,cliente156@email.com,11976872328,SP,Google Ads,2023-01-27,Planilha
157,Cliente_157,cliente157@email.com,11952275831,RS,Facebook Ads,2024-09-15,HubSpot
158,Cliente_158,cliente158@email.com,11997522772,PR,Facebook Ads,2024-11-27,ERP
159,Cliente_159,cliente159@email.com,11937339163,SP,Indicação,2024-04-10,ERP
160,Cliente_160,cliente160@email.com,11959189342,PR,Orgânico,2023-03-18,HubSpot
161,Cliente_161,cliente161@email.com,11993337250,RJ,Facebook Ads,2024-05-28,ERP
162,Cliente_162,cliente162@email.com,11918423240,RS,Loja Física,2023-06-19,HubSpot
163,Cliente_163,cliente163@email.com,11978859991,RS,Indicação,2023-04-09,HubSpot
164,Cliente_164,cliente164@email.com,11965996977,MG,Google Ads,2024-10-07,Planilha
165,Cliente_165,cliente165@email.com,11982477654,SP,Google Ads,2024-11-14,HubSpot
166,Cliente_166,cliente166@email.com,11959152678,BA,Google Ads,2024-07-12,ERP
167,Cliente_167,cliente167@email.com,11946470265,SP,Google Ads,2024-05-24,ERP
168,Cliente_168,cliente168@email.com,11941055237,SP,Google Ads,2023-10-24,Planilha
169,Cliente_169,cliente169@email.com,11990383222,SP,Google Ads,2023-03-08,HubSpot
170,Cliente_170,cliente170@email.com,11940809724,MG,Facebook Ads,2023-06-13,HubSpot
171,Cliente_171,cliente171@email.com,11963937304,RS,Google Ads,2024-07-25,Planilha
172,Cliente_172,cliente172@email.com,11940034339,SP,Marketplace,2023-04-29,ERP
173,Cliente_173,cliente173@email.com,11976011434,MG,Google Ads,2023-11-05,Planilha
174,Cliente_174,cliente174@email.com,11995071271,SP,Orgânico,2023-08-25,HubSpot
175,Cliente_175,cliente175@email.com,11936525961,RS,Facebook Ads,2024-08-11,Planilha
176,Cliente_176,cliente176@email.com,11994364627,SP,Loja Física,2023-12-24,Planilha
177,Cliente_177,cliente177@email.com,11949022344,RS,Google Ads,2023-11-27,Planilha
178,Cliente_178,cliente178@email.com,11924154834,RJ,Facebook Ads,2023-07-28,HubSpot
179,Cliente_179,cliente179@email.com,11946978923,PE,Loja Física,2024-12-17,Planilha
180,Cliente_180,cliente180@email.com,11935475337,SP,Marketplace,2024-08-19,Planilha
181,Cliente_181,cliente181@email.com,11992355664,SP,Marketplace,2024-02-16,ERP
182,Cliente_182,cliente182@email.com,11998232246,SP,Facebook Ads,2023-02-16,HubSpot
183,Cliente_183,cliente183@email.com,11975381606,PE,Google Ads,2023-05-26,Planilha
184,Cliente_184,cliente184@email.com,11972027889,BA,Indicação,2023-01-12,ERP
185,Cliente_185,cliente185@email.com,11992549238,SP,Loja Física,2024-01-17,HubSpot
186,Cliente_186,cliente186@email.com,11957567440,RS,Orgânico,2024-02-12,ERP
187,Cliente_187,cliente187@email.com,11971306330,SC,Orgânico,2023-02-14,Planilha
188,Cliente_188,cliente188@email.com,11928651833,MG,Facebook Ads,2023-12-14,HubSpot
189,Cliente_189,cliente189@email.com,11952420585,MG,Marketplace,2024-11-29,HubSpot
190,Cliente_190,cliente190@email.com,11979819149,SP,Google Ads,2023-03-11,Planilha
191,Cliente_191,cliente191@email.com,11942943005,SP,Facebook Ads,2023-02-19,HubSpot
192,Cliente_192,cliente192@email.com,11937634286,PE,Facebook Ads,2023-10-12,Planilha
193,Cliente_193,cliente193@email.com,11939328897,PE,Orgânico,2023-09-21,HubSpot
194,Cliente_194,cliente194@email.com,11954866178,RS,Google Ads,2024-05-15,Planilha
195,Cliente_195,cliente195@email.com,11998108612,SP,Google Ads,2023-06-20,HubSpot
196,Cliente_196,cliente196@email.com,11992589346,SP,Indicação,2024-09-16,ERP
197,Cliente_197,cliente197@email.com,11916482268,PR,Facebook Ads,2023-07-17,ERP
198,Cliente_198,cliente198@email.com,11993363336,PE,Orgânico,2024-09-23,ERP
199,Cliente_199,cliente199@email.com,11959365019,BA,Google Ads,2023-06-24,Planilha
200,Cliente_200,cliente200@email.com,11992947257,SC,Orgânico,2023-10-27,HubSpot
201,Cliente_201,cliente201@email.com,11950280587,RS,Orgânico,2024-09-10,Planilha
202,Cliente_202,cliente202@email.com,11933542336,SP,Google Ads,2023-08-25,HubSpot
203,Cliente_203,cliente203@email.com,11985223454,SP,Facebook Ads,2024-10-20,HubSpot
204,Cliente_204,cliente204@email.com,11920522591,PE,Google Ads,2023-09-29,HubSpot
205,Cliente_205,cliente205@email.com,11922033425,MG,Google Ads,2023-12-18,HubSpot
206,Cliente_206,cliente206@email.com,11910362940,SP,Loja Física,2023-06-24,Planilha
207,Cliente_207,cliente207@email.com,11930335035,SP,Facebook Ads,2023-03-18,Planilha
208,Cliente_208,cliente208@email.com,11970108737,RS,Marketplace,2023-08-28,HubSpot
209,Cliente_209,cliente209@email.com,11918510173,SP,Facebook Ads,2023-10-01,HubSpot
210,Cliente_210,cliente210@email.com,11979336509,SP,Indicação,2023-05-23,ERP
211,Cliente_211,cliente211@email.com,11927025442,MG,Marketplace,2023-10-10,HubSpot
212,Cliente_212,cliente212@email.com,11954464023,RS,Orgânico,2023-08-27,HubSpot
213,Cliente_213,cliente213@email.com,11944173510,RS,Orgânico,2024-09-10,HubSpot
214,Cliente_214,cliente214@email.com,11958222903,SP,Facebook Ads,2023-04-01,Planilha
215,Cliente_215,cliente215@email.com,11914024825,PR,Facebook Ads,2024-07-14,Planilha
216,Cliente_216,cliente216@email.com,11955923716,SP,Loja Física,2023-07-18,HubSpot
217,Cliente_217,cliente217@email.com,11990739338,SP,Marketplace,2023-02-27,HubSpot
218,Cliente_218,cliente218@email.com,11992924655,PR,Loja Física,2024-12-25,Planilha
219,Cliente_219,cliente219@email.com,11988025532,RS,Google Ads,2023-11-24,Planilha
220,Cliente_220,cliente220@email.com,11934839906,BA,Marketplace,2024-08-20,HubSpot
221,Cliente_221,cliente221@email.com,11931032021,RS,Loja Física,2024-06-09,ERP
222,Cliente_222,cliente222@email.com,11947094860,MG,Google Ads,2024-06-12,HubSpot
223,Cliente_223,cliente223@email.com,11951904607,SP,Google Ads,2023-12-31,HubSpot
224,Cliente_224,cliente224@email.com,11914807171,RJ,Marketplace,2023-10-12,ERP
225,Cliente_225,cliente225@email.com,11995834621,SP,Orgânico,2024-02-26,HubSpot
226,Cliente_226,cliente226@email.com,11944244990,SP,Marketplace,2024-05-09,Planilha
227,Cliente_227,cliente227@email.com,11933585133,DF,Google Ads,2023-09-02,HubSpot
228,Cliente_228,cliente228@email.com,11923243488,RJ,Marketplace,2023-06-06,HubSpot
229,Cliente_229,cliente229@email.com,11920120514,PE,Google Ads,2024-03-05,ERP
230,Cliente_230,cliente230@email.com,11929630564,RS,Google Ads,2023-05-03,HubSpot
231,Cliente_231,cliente231@email.com,11922626144,SC,Google Ads,2024-07-27,ERP
232,Cliente_232,cliente232@email.com,11993441007,MG,Marketplace,2024-01-28,HubSpot
233,Cliente_233,cliente233@email.com,11932195635,MG,Indicação,2023-09-05,HubSpot
234,Cliente_234,cliente234@email.com,11915632815,RJ,Orgânico,2023-11-11,HubSpot
235,Cliente_235,cliente235@email.com,11955309125,SP,Facebook Ads,2023-08-18,Planilha
236,Cliente_236,cliente236@email.com,11916455997,PR,Marketplace,2023-01-07,HubSpot
237,Cliente_237,cliente237@email.com,11927202163,SP,Facebook Ads,2024-09-04,ERP
238,Cliente_238,cliente238@email.com,11935023716,SP,Marketplace,2024-11-19,HubSpot
239,Cliente_239,cliente239@email.com,11961214456,RS,Facebook Ads,2023-02-15,ERP
240,Cliente_240,cliente240@email.com,11953553015,SP,Facebook Ads,2024-05-20,HubSpot
241,Cliente_241,cliente241@email.com,11936931140,CE,Orgânico,2023-11-06,ERP
242,Cliente_242,cliente242@email.com,11957556123,CE,Facebook Ads,2024-02-10,Planilha
243,Cliente_243,cliente243@email.com,11974169850,PE,Marketplace,2023-01-16,Planilha
244,Cliente_244,cliente244@email.com,11985455705,RJ,Orgânico,2024-05-05,ERP
245,Cliente_245,cliente245@email.com,11993678837,SP,Google Ads,2024-08-31,Planilha
246,Cliente_246,cliente246@email.com,11984119652,PE,Marketplace,2023-09-24,Planilha
247,Cliente_247,cliente247@email.com,11933204198,RJ,Facebook Ads,2024-10-29,HubSpot
248,Cliente_248,cliente248@email.com,11982720316,CE,Orgânico,2024-03-16,HubSpot
249,Cliente_249,cliente249@email.com,11958998453,CE,Loja Física,2024-07-13,ERP
250,Cliente_250,cliente250@email.com,11977737639,BA,Indicação,2023-09-09,Planilha
251,Cliente_251,cliente251@email.com,11997987256,SP,Google Ads,2024-12-10,Planilha
252,Cliente_252,cliente252@email.com,11950947530,RJ,Loja Física,2024-06-25,HubSpot
253,Cliente_253,cliente253@email.com,11975318691,BA,Indicação,2023-02-06,HubSpot
254,Cliente_254,cliente254@email.com,11961641165,SP,Facebook Ads,2023-01-18,HubSpot
255,Cliente_255,cliente255@email.com,11983363091,SP,Google Ads,2024-03-15,Planilha
256,Cliente_256,cliente256@email.com,11941273976,MG,Marketplace,2023-07-01,HubSpot
257,Cliente_257,cliente257@email.com,11962252858,PE,Indicação,2023-02-06,HubSpot
258,Cliente_258,cliente258@email.com,11989871063,RS,Orgânico,2024-07-01,HubSpot
259,Cliente_259,cliente259@email.com,11939791170,MG,Marketplace,2024-11-06,HubSpot
260,Cliente_260,cliente260@email.com,11914958969,SP,Marketplace,2024-09-08,Planilha
261,Cliente_261,cliente261@email.com,11941567027,MG,Google Ads,2024-09-14,HubSpot
262,Cliente_262,cliente262@email.com,11914455827,DF,Facebook Ads,2024-10-21,Planilha
263,Cliente_263,cliente263@email.com,11964840406,SP,Google Ads,2023-12-15,HubSpot
264,Cliente_264,cliente264@email.com,11918503881,MG,Marketplace,2023-03-22,HubSpot
265,Cliente_265,cliente265@email.com,11984594752,BA,Google Ads,2023-08-15,HubSpot
266,Cliente_266,cliente266@email.com,11911743138,PR,Orgânico,2023-07-22,HubSpot
267,Cliente_267,cliente267@email.com,11983152752,RS,Marketplace,2024-08-30,HubSpot
268,Cliente_268,cliente268@email.com,11959117248,PR,Marketplace,2024-07-08,HubSpot
269,Cliente_269,cliente269@email.com,11970951371,RJ,Facebook Ads,2023-10-06,Planilha
270,Cliente_270,cliente270@email.com,11943873105,SP,Marketplace,2024-09-26,HubSpot
271,Cliente_271,cliente271@email.com,11912980458,SC,Google Ads,2023-04-10,Planilha
272,Cliente_272,cliente272@email.com,11981355831,SC,Marketplace,2024-11-06,ERP
273,Cliente_273,cliente273@email.com,11999744903,BA,Google Ads,2023-08-08,Planilha
274,Cliente_274,cliente274@email.com,11998261729,PE,Facebook Ads,2024-12-05,HubSpot
275,Cliente_275,cliente275@email.com,11930433787,MG,Marketplace,2024-12-22,HubSpot
276,Cliente_276,cliente276@email.com,11944937767,MG,Google Ads,2023-07-19,HubSpot
277,Cliente_277,cliente277@email.com,11960043517,SC,Google Ads,2023-04-16,HubSpot
278,Cliente_278,cliente278@email.com,11924375043,RS,Marketplace,2024-11-26,ERP
279,Cliente_279,cliente279@email.com,11936350487,PR,Marketplace,2023-01-01,HubSpot
280,Cliente_280,cliente280@email.com,11927010369,SC,Indicação,2023-11-20,HubSpot
281,Cliente_281,cliente281@email.com,11932502169,PE,Indicação,2023-01-03,Planilha
282,Cliente_282,cliente282@email.com,11934256703,SP,Orgânico,2023-02-05,Planilha
283,Cliente_283,cliente283@email.com,11960413197,RJ,Facebook Ads,2024-08-18,Planilha
284,Cliente_284,cliente284@email.com,11978878804,SP,Facebook Ads,2023-02-10,HubSpot
285,Cliente_285,cliente285@email.com,11979298760,MG,Google Ads,2023-11-18,HubSpot
286,Cliente_286,cliente286@email.com,11922955438,SP,Loja Física,2024-09-03,Planilha
287,Cliente_287,cliente287@email.com,11934327457,RJ,Orgânico,2023-11-15,HubSpot
288,Cliente_288,cliente288@email.com,11911255091,MG,Facebook Ads,2023-07-31,HubSpot
289,Cliente_289,cliente289@email.com,11995407115,SP,Orgânico,2023-12-11,HubSpot
290,Cliente_290,cliente290@email.com,11995980967,MG,Loja Física,2023-03-06,HubSpot
291,Cliente_291,cliente291@email.com,11972798200,SP,Google Ads,2023-11-02,HubSpot
292,Cliente_292,cliente292@email.com,11955253509,SP,Orgânico,2023-12-09,HubSpot
293,Cliente_293,cliente293@email.com,11916091555,SC,Orgânico,2023-09-29,Planilha
294,Cliente_294,cliente294@email.com,11983732927,RJ,Indicação,2024-09-28,Planilha
295,Cliente_295,cliente295@email.com,11913050162,SP,Google Ads,2024-11-26,ERP
296,Cliente_296,cliente296@email.com,11941814763,MG,Marketplace,2024-02-05,HubSpot
297,Cliente_297,cliente297@email.com,11941732684,PR,Loja Física,2023-04-16,HubSpot
298,Cliente_298,cliente298@email.com,11916929985,SP,Orgânico,2024-04-09,HubSpot
299,Cliente_299,cliente299@email.com,11985888482,RS,Indicação,2023-04-29,Planilha
300,Cliente_300,cliente300@email.com,11953281556,SP,Loja Física,2024-04-04,Planilha
301,Cliente_301,cliente301@email.com,11995982657,SP,Marketplace,2023-10-03,HubSpot
302,Cliente_302,cliente302@email.com,11953655773,MG,Google Ads,2024-04-04,ERP
303,Cliente_303,cliente303@email.com,11998109241,MG,Orgânico,2023-09-15,HubSpot
304,Cliente_304,cliente304@email.com,11979156886,RS,Indicação,2023-12-09,Planilha
305,Cliente_305,cliente305@email.com,11913743011,PR,Facebook Ads,2024-07-04,Planilha
306,Cliente_306,cliente306@email.com,11964196725,DF,Marketplace,2024-11-20,ERP
307,Cliente_307,cliente307@email.com,11997001841,MG,Loja Física,2023-08-18,Planilha
308,Cliente_308,cliente308@email.com,11931079191,SP,Loja Física,2024-08-16,ERP
309,Cliente_309,cliente309@email.com,11984681926,SC,Orgânico,2023-01-04,HubSpot
310,Cliente_310,cliente310@email.com,11933139699,SP,Google Ads,2023-08-01,ERP
311,Cliente_311,cliente311@email.com,11921154206,RJ,Loja Física,2024-06-27,HubSpot
